id,sentence,difficulty,difficulty_encoded,sentence_length,word_count,average_word_length,pos_tags,unique_word_count,type_token_ratio,clause_count,long_word_count,sentence_length_words,long_sentence
0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,4,255,38,5.7368421052631575,"Counter({'NOUN': 14, 'ADP': 13, 'PUNCT': 5, 'VERB': 4, 'DET': 3, 'ADJ': 3, 'ADV': 2, 'CCONJ': 1})",29,0.7631578947368421,5,12,38,1
1,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,0,62,12,4.25,"Counter({'DET': 3, 'NOUN': 2, 'PUNCT': 2, 'PRON': 2, 'VERB': 2, 'ADV': 2, 'AUX': 1, 'CCONJ': 1, 'PROPN': 1})",12,1.0,1,1,12,0
2,Le test de niveau en français est sur le site Internet de l'école.,A1,0,66,13,4.153846153846154,"Counter({'NOUN': 6, 'ADP': 4, 'DET': 3, 'VERB': 1, 'PUNCT': 1})",12,0.9230769230769231,0,3,13,0
3,Est-ce que ton mari est aussi de Boston?,A1,0,40,8,4.125,"Counter({'NOUN': 3, 'PRON': 1, 'SCONJ': 1, 'VERB': 1, 'ADV': 1, 'ADP': 1, 'PROPN': 1, 'PUNCT': 1})",8,1.0,0,0,8,0
4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,2,209,34,5.176470588235294,"Counter({'ADP': 11, 'NOUN': 10, 'PUNCT': 5, 'DET': 4, 'VERB': 4, 'ADJ': 2, 'PRON': 2, 'NUM': 2, 'ADV': 1, 'CCONJ': 1})",28,0.8235294117647058,2,8,34,1
5,voilà une autre histoire que j'ai beaucoup aimée.,A2,1,49,8,5.25,"Counter({'VERB': 2, 'PRON': 2, 'DET': 1, 'ADJ': 1, 'NOUN': 1, 'AUX': 1, 'ADV': 1, 'PUNCT': 1})",8,1.0,0,2,8,0
6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,1,83,15,4.6,"Counter({'DET': 3, 'NOUN': 3, 'VERB': 3, 'ADV': 2, 'ADP': 2, 'SCONJ': 1, 'PRON': 1, 'NUM': 1, 'PUNCT': 1})",15,1.0,0,1,15,0
7,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,3,206,31,5.67741935483871,"Counter({'NOUN': 8, 'ADP': 7, 'DET': 5, 'VERB': 3, 'PRON': 2, 'ADV': 2, 'PUNCT': 2, 'ADJ': 2, 'AUX': 1, 'PROPN': 1})",28,0.9032258064516129,1,9,31,1
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,1,53,11,3.909090909090909,"Counter({'DET': 3, 'NOUN': 3, 'VERB': 2, 'ADP': 2, 'PRON': 1, 'AUX': 1})",11,1.0,0,1,11,0
9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,2,88,15,4.933333333333334,"Counter({'PRON': 2, 'VERB': 2, 'ADV': 2, 'ADP': 2, 'DET': 2, 'ADJ': 2, 'NOUN': 2, 'PUNCT': 1, 'PROPN': 1})",15,1.0,1,2,15,0
10,Bonjour et bonne année.,A1,0,23,4,5.0,"Counter({'PROPN': 1, 'CCONJ': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 1})",4,1.0,0,0,4,0
11,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2,3,110,18,5.166666666666667,"Counter({'NOUN': 5, 'ADP': 4, 'DET': 3, 'ADV': 2, 'ADJ': 2, 'PRON': 1, 'AUX': 1, 'VERB': 1, 'NUM': 1, 'PUNCT': 1})",17,0.9444444444444444,0,4,18,1
12,"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1,2,68,13,4.3076923076923075,"Counter({'ADP': 3, 'DET': 3, 'NOUN': 3, 'PRON': 2, 'VERB': 2, 'PUNCT': 2, 'SCONJ': 1, 'PROPN': 1})",12,0.9230769230769231,1,2,13,0
13,J'habite une belle ville dans le nord de la France.,A1,0,51,10,4.2,"Counter({'DET': 3, 'NOUN': 2, 'ADP': 2, 'PRON': 1, 'VERB': 1, 'ADJ': 1, 'PROPN': 1, 'PUNCT': 1})",10,1.0,0,1,10,0
14,"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2,3,97,15,5.533333333333333,"Counter({'ADP': 4, 'NOUN': 4, 'ADV': 2, 'VERB': 2, 'PUNCT': 2, 'PRON': 1, 'CCONJ': 1, 'DET': 1})",14,0.9333333333333333,1,4,15,0
15,"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2,5,224,37,5.081081081081081,"Counter({'PRON': 9, 'NOUN': 6, 'ADP': 5, 'PUNCT': 4, 'ADV': 4, 'DET': 3, 'VERB': 3, 'ADJ': 3, 'CCONJ': 3, 'SCONJ': 2, 'PROPN': 1})",30,0.8108108108108109,3,10,37,1
16,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2,3,102,16,5.4375,"Counter({'DET': 4, 'NOUN': 4, 'VERB': 3, 'ADP': 2, 'PRON': 1, 'SCONJ': 1, 'AUX': 1, 'ADJ': 1, 'PROPN': 1, 'PUNCT': 1})",16,1.0,0,5,16,1
17,"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1,0,72,15,3.8666666666666667,"Counter({'PRON': 3, 'NOUN': 2, 'PUNCT': 2, 'VERB': 2, 'ADV': 2, 'SCONJ': 2, 'DET': 1, 'AUX': 1, 'ADP': 1, 'ADJ': 1})",14,0.9333333333333333,1,1,15,0
18,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2,3,144,24,5.041666666666667,"Counter({'PUNCT': 6, 'DET': 5, 'NOUN': 5, 'VERB': 4, 'ADP': 3, 'PRON': 3, 'PROPN': 2, 'CCONJ': 1, 'SCONJ': 1, 'AUX': 1})",23,0.9583333333333334,3,4,24,1
19,Je ne fais pas grand-chose à la maison.,A2,1,39,8,4.0,"Counter({'ADV': 2, 'PRON': 1, 'VERB': 1, 'ADJ': 1, 'ADP': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1})",8,1.0,0,1,8,0
20,Elle ajoute qu'une interdiction totale est impossible à gérer.,B2,3,62,9,6.0,"Counter({'VERB': 2, 'ADJ': 2, 'PRON': 1, 'SCONJ': 1, 'DET': 1, 'NOUN': 1, 'AUX': 1, 'ADP': 1, 'PUNCT': 1})",9,1.0,0,2,9,0
